"proposed_use","existing_construction_type","status_date","proposed_units","proposed_construction_type","permit_number","proposed_occupancy","data_loaded_at","description","primary_address_flag","revised_cost","street_name","supervisor_district","street_suffix","completed_date","lot","unit_suffix","filed_date","fire_only_permit","issued_date","plansets","structural_notification","block","application_submission_method","point_source","site_permit","number_of_existing_stories","number_of_proposed_stories","data_as_of","neighborhoods_analysis_boundaries","existing_occupancy","permit_type_definition","last_permit_activity_date","permit_type","permit_creation_date","zipcode","record_id","proposed_construction_type_description","unit","adu","estimated_cost","street_number","existing_use","existing_units","location","street_number_suffix","status","existing_construction_type_description"
"1 family dwelling","5","2023-08-28T13:28:07.000","1","5","202308285429","R-3","2023-09-08T04:14:49.000","revise 202303314865 (convert storage to new guest rm, office, family rm in bsm): refine retaining wall & exterior stair arragement","Y","0","Arbor","8","St","","050","","2023-08-28T13:28:07.000","","","2","","6712","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Glen Park","R-3","otc alterations permit","2023-08-28T14:23:13.000","8","2023-08-28T00:00:00.000","94131","1677034382312","wood frame (5)","","N","1","57","1 family dwelling","1","{""coordinates"":[-122.435466315,37.737577265],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-08-28T13:08:30.000","1","5","202308285401","R-3","2023-09-08T04:14:49.000","minor interior remodel including the modificaiton of the (e) interior stair to include a new landing.","Y","30000","Chattanooga","8","St","","021","","2023-08-28T10:39:49.000","","2023-08-28T13:08:30.000","2","","3649","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Noe Valley","R-3","otc alterations permit","2023-08-28T13:04:46.000","8","2023-08-28T00:00:00.000","94114","1677003163947","wood frame (5)","","N","30000","255","1 family dwelling","1","{""coordinates"":[-122.426085958,37.752475585],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-08-28T14:31:02.000","4","5","202308285446","R-2","2023-09-08T04:14:49.000","replace trim outside of deck, replace siding on deck wall 5 x 80 lft , paint all areas we worked this job is for labor and materials included","Y","0","Fulton","5","St","","016","","2023-08-28T14:31:02.000","","","0","","0798","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Hayes Valley","R-2","otc alterations permit","2023-09-06T12:05:24.000","8","2023-08-28T00:00:00.000","94117","167705381843","wood frame (5)","","N","23346","927","apartments","4","{""coordinates"":[-122.432637047,37.77735416],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-08-29T08:26:05.000","1","5","202308285455","R-3","2023-09-08T04:14:49.000","repair front exterior steps due to leak. replace in kind with terrazzo landings.","Y","10000","40th","4","Av","","001","","2023-08-28T15:07:15.000","","2023-08-29T08:26:05.000","0","","2009","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-08-29T08:23:39.000","8","2023-08-28T00:00:00.000","94122","1677063121639","wood frame (5)","","N","10000","1701","1 family dwelling","1","{""coordinates"":[-122.49933533,37.754960398],""type"":""Point""}","","issued","wood frame (5)"
"2 family dwelling","5","2023-08-29T14:35:45.000","2","5","202308285438","R-3","2023-09-08T04:14:49.000","replace rear stair to yard in kind","Y","16026","Brazil","11","Av","","017","","2023-08-28T13:56:42.000","","2023-08-29T14:35:45.000","2","","6015","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Excelsior","R-3","otc alterations permit","2023-08-29T14:28:20.000","8","2023-08-28T00:00:00.000","94112","1677042194065","wood frame (5)","","N","10000","115","2 family dwelling","2","{""coordinates"":[-122.433227596,37.724190518],""type"":""Point""}","","issued","wood frame (5)"
"office","1","2023-08-28T10:12:48.000","","1","202308285394","B","2023-09-08T04:14:49.000","revision to pa# 202109228950. additions of non-load bearing wall.","Y","115000","Mission","6","St","","095","","2023-08-28T10:12:48.000","","","2","","3708","in-house","parcel_centroid","","31","31","2023-09-07T23:55:00.000","Financial District/South Beach","B","otc alterations permit","2023-08-28T12:49:27.000","8","2023-08-28T00:00:00.000","94105","1676996454613","constr type 1","","N","115000","560","office","","{""coordinates"":[-122.399359351,37.788864729],""type"":""Point""}","","filed","constr type 1"
"food/beverage hndlng","1","2023-08-28T09:03:14.000","291","1","202308285373","B,M,R-2","2023-09-08T04:14:49.000","fire suppression system: ""giles"" ventless hiid with hood 3 duct ansul system biledin.","Y","5300","03rd","6","St","","609","R-1","2023-08-28T08:36:45.000","Y","2023-08-28T09:03:14.000","2","","8702","in-house","parcel_centroid","","16","16","2023-09-07T23:55:00.000","Mission Bay","B,M,R-2","otc alterations permit","2023-08-28T09:01:16.000","8","2023-08-28T00:00:00.000","94107","1676973488023","constr type 1","","N","1500","710","food/beverage hndlng","291","{""coordinates"":[-122.393418135,37.777642219],""type"":""Point""}","","issued","constr type 1"
"2 family dwelling","","2023-09-07T10:53:37.000","","","202308255356","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","5000","Richland","9","Av","2023-09-07T10:53:37.000","009","","2023-08-25T21:54:57.000","","2023-08-25T21:56:24.000","0","","5721","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Bernal Heights","R-3","otc alterations permit","2023-08-25T21:54:58.000","8","2023-08-25T21:54:57.000","94110","1676963187785","","","N","5000","387","2 family dwelling","","{""coordinates"":[-122.41723589,37.735848926],""type"":""Point""}","","complete",""
"2 family dwelling","","2023-08-25T19:13:45.000","","","202308255355","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","12550","27th","4","Av","","006A","","2023-08-25T19:12:34.000","","2023-08-25T19:13:45.000","0","","1916","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-08-25T19:12:35.000","8","2023-08-25T19:12:34.000","94122","1676962120281","","","N","12550","1687","2 family dwelling","","{""coordinates"":[-122.485459462,37.756001279],""type"":""Point""}","","issued",""
"2 family dwelling","","2023-08-25T15:26:43.000","","","202308255347","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","14000","Vienna","11","St","","005A","","2023-08-25T15:21:04.000","","2023-08-25T15:26:43.000","0","","5948","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Excelsior","R-3","otc alterations permit","2023-08-25T15:21:04.000","8","2023-08-25T15:21:04.000","94112","1676954192163","","","N","14000","50","2 family dwelling","","{""coordinates"":[-122.425208967,37.727796023],""type"":""Point""}","","issued",""
"day care home gt 12","5","2023-08-25T14:07:54.000","","5","202308255335","E","2023-09-08T04:14:49.000","1/f change of use: change existing salon (3101 clement) to childcare center. ref permit 202304206159","Y","0","Clement","1","St","","001","","2023-08-25T14:07:54.000","","","2","","1464","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Outer Richmond","B","otc alterations permit","2023-09-07T07:44:41.000","8","2023-08-25T14:07:53.000","94121","1676941100789","wood frame (5)","","N","50000","3101","barber/beauty salon","","{""coordinates"":[-122.492519321,37.781419013],""type"":""Point""}","","filed","wood frame (5)"
"2 family dwelling","","2023-09-07T10:05:45.000","","","202308255324","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","17440","Nebraska","9","St","2023-09-07T10:05:45.000","012","","2023-08-25T13:10:12.000","","2023-08-25T13:12:46.000","0","","5655","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Bernal Heights","R-3","otc alterations permit","2023-08-25T13:10:12.000","8","2023-08-25T13:10:12.000","94110","1676929185935","","","N","17440","66","2 family dwelling","","{""coordinates"":[-122.410715846,37.740343889],""type"":""Point""}","","complete",""
"1 family dwelling","","2023-08-25T12:46:40.000","","","202308255314","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","26000","25th","8","St","","037","","2023-08-25T12:41:49.000","","2023-08-25T12:46:40.000","0","","6550","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Noe Valley","R-3","otc alterations permit","2023-08-25T12:41:49.000","8","2023-08-25T12:41:49.000","94114","1676919207188","","","N","26000","3841","1 family dwelling","","{""coordinates"":[-122.426016932,37.74992824],""type"":""Point""}","","issued",""
"2 family dwelling","","2023-08-25T12:19:42.000","","","202308255310","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","10746","15th","7","Av","","016","","2023-08-25T12:16:14.000","","2023-08-25T12:19:42.000","0","","2203","website","parcel_centroid","","","","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-08-25T12:16:14.000","8","2023-08-25T12:16:14.000","94116","1676915129838","","","N","10746","2154","2 family dwelling","","{""coordinates"":[-122.47133401,37.747783903],""type"":""Point""}","","issued",""
"apartments","5","2023-08-25T14:03:09.000","5","5","202308255297","R-2","2023-09-08T04:14:49.000","upgrade (e) fire alarm system to comply with sffc section 1103.7.6.1.","Y","24421","Oak","5","St","","045","","2023-08-25T11:19:39.000","Y","2023-08-25T14:03:09.000","2","","1219","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Haight Ashbury","R-2","otc alterations permit","2023-08-25T14:00:20.000","8","2023-08-25T11:19:39.000","94117","1676902445818","wood frame (5)","1","N","21100","1263","apartments","5","{""coordinates"":[-122.440048653,37.772513144],""type"":""Point""}","","issued","wood frame (5)"
"retail sales","5","2023-08-25T11:04:33.000","6","5","202308255290","B,M,R-2","2023-09-08T04:14:49.000","abe- regrade (e) sidewalk to align w/(e) entry landing alcove, abe# 202106243030.","Y","18750","Divisadero","2","St","","004","","2023-08-25T11:04:33.000","","","2","","1049","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Pacific Heights","B,M,R-2","otc alterations permit","2023-09-06T15:11:32.000","8","2023-08-25T11:04:33.000","94115","1676893273616","wood frame (5)","","N","18750","1837","retail sales","6","{""coordinates"":[-122.4404642,37.786606368],""type"":""Point""}","","filed","wood frame (5)"
"retail sales","5","2023-08-25T11:04:33.000","6","5","202308255289","B,M,R-2","2023-09-08T04:14:49.000","abe- regrade (e) sidewalk & (e) entry landing alcove to align w/ tenant space's (e) finish floor, add (n) hi-low door actuator at entry, abe# 202211165268","Y","18500","Divisadero","2","St","","004","","2023-08-25T11:04:33.000","","","2","","1049","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Pacific Heights","B,M,R-2","otc alterations permit","2023-09-06T15:12:16.000","8","2023-08-25T11:04:33.000","94115","1676897372901","wood frame (5)","","N","18500","1849","retail sales","6","{""coordinates"":[-122.4404642,37.786606368],""type"":""Point""}","","filed","wood frame (5)"
"retail sales","5","2023-08-25T11:04:33.000","6","5","202308255288","B,M,R-2","2023-09-08T04:14:49.000","abe- technical infeasibility request, add (n) hi-low door actuator at entry, abe# 202106183029","Y","0","Divisadero","2","St","","004","","2023-08-25T11:04:33.000","","","2","","1049","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Pacific Heights","B,M,R-2","otc alterations permit","2023-08-25T16:12:28.000","8","2023-08-25T11:04:32.000","94115","1676894273617","wood frame (5)","","N","18750","1839","retail sales","6","{""coordinates"":[-122.4404642,37.786606368],""type"":""Point""}","","filed","wood frame (5)"
"2 family dwelling","","2023-09-05T14:37:09.000","","","202308255282","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","12500","40th","4","Av","2023-09-05T14:37:09.000","020","","2023-08-25T10:53:42.000","","2023-08-25T10:55:39.000","0","","2077","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-08-25T10:53:42.000","8","2023-08-25T10:53:42.000","94122","1676886124785","","","N","12500","1879","2 family dwelling","","{""coordinates"":[-122.499199302,37.751786072],""type"":""Point""}","","complete",""
"apartments","5","2023-08-31T15:35:05.000","3","5","202308255276","R-2","2023-09-08T04:14:49.000","replace 1 sliding door at rear. non street visible. (e) vinyl to (n) wood comp. no change is size or location. max u-factor 0.30 or better.","Y","11194","26th","1","Av","","051","","2023-08-25T10:45:44.000","","2023-08-31T15:35:05.000","0","","1458","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Outer Richmond","R-2","otc alterations permit","2023-08-31T15:31:02.000","8","2023-08-25T10:45:44.000","94121","1676884288009","wood frame (5)","3","N","11194","427","apartments","3","{""coordinates"":[-122.486262988,37.781400803],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-08-31T15:35:56.000","1","5","202308255274","R-3","2023-09-08T04:14:49.000","replace 2 sliding doors at rear not visible to street.  (e) aluminium  to (n) wood clad. no change is size or location. max u-factor 0.30 or better.","Y","22831","Maywood","7","Dr","","016","","2023-08-25T10:45:44.000","","2023-08-31T15:35:56.000","0","","3040","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-08-31T15:26:50.000","8","2023-08-25T10:45:44.000","94127","1676877150700","wood frame (5)","","N","22831","65","1 family dwelling","1","{""coordinates"":[-122.462083803,37.735069963],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-08-31T15:34:42.000","1","5","202308255275","R-3","2023-09-08T04:14:49.000","replace 1 window and 1 sliding door at rear. non-street visible. (e) aluminium  to (n) wood comp. no change is size or location. max u-factor 0.30 or better.","Y","14885","Bella Vista","7","Wy","","024","","2023-08-25T10:45:44.000","","2023-08-31T15:34:42.000","0","","3001","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-08-31T15:24:54.000","8","2023-08-25T10:45:44.000","94127","1676883149592","wood frame (5)","","N","14885","481","1 family dwelling","1","{""coordinates"":[-122.451399835,37.73541533],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-08-25T12:38:36.000","6","5","202308255273","R-2","2023-09-08T04:14:49.000","upgrade (e) fire alarm system to comply w/ sffc sec 1103.7.6.1","Y","18000","Oak","5","St","","029","","2023-08-25T10:44:41.000","Y","2023-08-25T12:38:36.000","2","","1222","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Haight Ashbury","R-2","otc alterations permit","2023-08-25T12:36:15.000","8","2023-08-25T10:44:41.000","94117","1676878396832","wood frame (5)","0","N","18000","1541","apartments","6","{""coordinates"":[-122.444693753,37.771915889],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-08-25T10:22:33.000","1","5","202308255258","R-3","2023-09-08T04:14:49.000","replace 3 windows at rear non-street visible.  (e) aluminum with (n) wood comp. no change is size or location. max u-factor 0.30 or better.","Y","0","Edna","7","St","","027","","2023-08-25T10:22:33.000","","","0","","3156","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-08-25T10:21:31.000","8","2023-08-25T10:22:33.000","94112","1676867153976","wood frame (5)","","N","11965","224","1 family dwelling","1","{""coordinates"":[-122.44628868,37.728681134],""type"":""Point""}","","filed","wood frame (5)"
